,receipe,nutricional,ingredients
21,Cod with herby cheese topping,"Each 228g serving contains (excludes serving suggestion)
KCal
259
Carbs
8.5g
Fibre
0.3g
Protein
31.8g
Fat
10.8g
Saturates
4.9g
Sugars
2.5g
Salt
0.73g
Fruit/Veg Portion
0
Nutritional information explained
What makes a healthy, balanced diet?","Ingredients
15g vegetable oil spread
15g plain flour
100ml milk
25g strong Cheddar or other hard cheese, grated
1 tsp English mustard
2 tbsp chopped mixed herbs
freshly ground black pepper
2 thick chunks cod fillet (or any other chunky white fish) approx. 150g each"
22,Cod goujons,"Each 193g serving contains (excludes serving suggestion)
KCal
245
Carbs
17.7g
Fibre
2.3g
Protein
29.4g
Fat
5.8g
Saturates
1.3g
Sugars
0.7g
Salt
1.14g
Fruit/Veg Portion
0
Nutritional information explained
What makes a healthy, balanced diet?","Ingredients
1 tsp sunflower oil
1 heaped tbsp plain flour
1 egg, beaten with good pinch pepper
50g wholemeal breadcrumbs (2 slices bread, crumbed)
250g boneless skinless cod, cut into strips"
23,Cod and salmon burgers,"Each 291g serving contains (excludes serving suggestion)
KCal
343
Carbs
28.7g
Fibre
6.2g
Protein
29.0g
Fat
11.1g
Saturates
2.3g
Sugars
7.3g
Salt
0.77g
Fruit/Veg Portion
1
Nutritional information explained
What makes a healthy, balanced diet?","Ingredients
200g boneless, skinless cod fillet
200g boneless, skinless salmon
1 medium egg
juice half lemon, with wedges to serve
4 spring onions, finely chopped
10g dill, with sprigs to serve
quality ground pepper
4 wholemeal burger baps, 65g each
12 little gem lettuce leaves
2 large tomatoes (160g), sliced
1 red onion (160g), thinly sliced
6cm cucumber, thinly sliced"
24,Christmas pudding,"Each 66g serving contains (excludes serving suggestion)
KCal
119
Carbs
19.5g
Fibre
3.1g
Protein
2.7g
Fat
2.9g
Saturates
0.4g
Sugars
10.0g
Salt
0.1g
Fruit/Veg Portion
0
Nutritional information explained
What makes a healthy, balanced diet?","Ingredients
25g sultanas
25g currants
25g raisins
10g mixed peel
1 tbsp mixed spice
1 tbsp ground cinnamon
half tsp ground cloves
1 tsp ground ginger
1 spray of oil or half tsp oil
20g glace cherries, chopped (+ 5 left whole to top)10g whole almonds
1 small banana
1 unpeeled apple, grated
1 small carrot, grated
50g fine oatmeal
30g wholemeal flour
half tsp baking powder
grated zest 1 orange
grated zest 1 lemon
10g sunflower seeds
10g pumpkin seeds"
25,Coconut rice pudding,"Each 204g serving contains (excludes serving suggestion)
KCal
206
Carbs
31.0g
Fibre
1.9g
Protein
5.9g
Fat
6.1g
Saturates
4.2g
Sugars
3.1g
Salt
0.2g
Nutritional information explained
What makes a healthy, balanced diet?","Ingredients
100g basmati rice
400ml unsweetened coconut milk drink
300ml soya milk
25g granulated sweetener
few drops vanilla essence
1 tbsp toasted coconut"
26,Chocolate mousse with raspberries,"Each 102g serving contains (excludes serving suggestion)
KCal
124
Carbs
13.2g
Fibre
1.9g
Protein
6.0g
Fat
4.8g
Saturates
2.8g
Sugars
13.0g
Salt
0.09g
Fruit/Veg Portion
0
Nutritional information explained
What makes a healthy, balanced diet?","Ingredients
100g chocolate (85% cocoa solids)
4 heaped tsp granulated sugar-free sweetener (20g)
200ml fat-free Greek yogurt
2 egg whites
250g raspberries"
27,Chocolate brownies,"Each 60g serving contains (excludes serving suggestion)
KCal
167
Carbs
13.5g
Fibre
1.9g
Protein
5.9g
Fat
9.7g
Saturates
2.8g
Sugars
9.0g
Salt
0.22g
Nutritional information explained
What makes a healthy, balanced diet?","Ingredients
100g dark chocolate, broken into pieces
25g low-fat vegetable spread
250g cooked beetroot (in water)
1 tsp instant coffee granules dissolved in 1 tsp water
2 medium eggs, beaten
half tsp vanilla extract
2 tbsp maple syrup
100g ground almonds
50g plain wholemeal flour
50g cocoa powder
10 tsp granulated artificial sweetener
half tsp baking powder"
28,"Chocolate, almond and berry cake","Each 113g serving contains (excludes serving suggestion)
KCal
139
Carbs
14.8g
Fibre
2.5g
Protein
9.8g
Fat
3.9g
Saturates
1.1g
Sugars
3.2g
Salt
0.3g
Nutritional information explained
What makes a healthy, balanced diet?","Ingredients
1 tsp rapeseed oil (for cake tin)
50g wholemeal flour
50g plain flour
15g cornflour
1 tsp baking powder
15g cocoa powder
4 medium eggs, separated
1 tbsp 0% fat Greek yogurt
4 tbsp granulated sweetener
2 tsp natural almond extract
For the topping:
200g fat-free quark (cream cheese)
1 tbsp granulated sweetener
175g fresh strawberries, sliced
125g fresh raspberries"
29,Chinese steamed trout,"Each 264g serving contains (excludes serving suggestion)
KCal
325
Carbs
4.4g
Fibre
0.9g
Protein
40.3g
Fat
16.1g
Saturates
3.2g
Sugars
4.1g
Salt
1.1g
Fruit/Veg Portion
0
Nutritional information explained
What makes a healthy, balanced diet?","Ingredients
4 rainbow trout fillets, prepared (approx. 100g each)
1 tbsp sesame oil
1 tbsp reduced-salt soy sauce
grated rind and juice 1 lime
2 cloves garlic, sliced
2.5cm piece ginger, grated
1 bunch spring onions, sliced"
30,Chilli con carne,"Each 328g serving contains (excludes serving suggestion)
KCal
209
Carbs
18.2g
Fibre
6.5g
Protein
21.0g
Fat
4.4g
Saturates
1.7g
Sugars
8.7g
Salt
0.1g
Fruit/Veg Portion
3
Nutritional information explained
What makes a healthy, balanced diet?","Ingredients
1 tsp sunflower oil
2 onions, finely chopped
500g lean minced beef (5% fat)
250g mushrooms, sliced
1 red pepper, finely chopped
1 yellow pepper, finely chopped
1 courgette, diced
4 cloves garlic, crushed
1–2 tsp chilli powder (hot or mild as you prefer)
2 tsp oregano
2 tsp cumin
800g tin chopped tomatoes
390g tin lentils (236g drained and rinsed)
400g tin kidney beans
25g dark plain chocolate (70% cocoa solids)"
