Unnamed: 0,receipe,nutricional,ingredients
20,Mackerel with tomatoes,"['Each 205g serving contains (excludes serving suggestion)', 'KCal', '277', 'Carbs', '3.0g', 'Fibre', '1.2g', 'Protein', '18.8g', 'Fat', '20.8g', 'Saturates', '4.3g', 'Sugars', '2.6g', 'Salt', '0.39g', 'Fruit/Veg Portion', '1', 'Nutritional information explained', 'What makes a healthy, balanced diet?']","Ingredients
4 fresh mackerel fillets, pin-boned (100g each)
1 tbsp olive oil
2 lemons, juiced, plus 1 extra lemon cut into wedges
3 garlic cloves, chopped
5 vine tomatoes, cored, seeded, and diced
1 large handful flat-leaf parsley, roughly chopped
freshly ground black pepper
baguette slices, to serve (optional )"
21,"Sweet potato, chickpea and carrot tagine with couscous","['Each 424g serving contains (excludes serving suggestion)', 'KCal', '348', 'Carbs', '55.4g', 'Fibre', '12.2g', 'Protein', '11.0g', 'Fat', '6.5g', 'Saturates', '0.8g', 'Sugars', '17.6g', 'Salt', '0.58g', 'Fruit/Veg Portion', '3', 'Nutritional information explained', 'What makes a healthy, balanced diet?']","Ingredients
For the tagine: 2 tsp olive oil
1 onion, finely chopped
2 garlic cloves, finely chopped
2 tsp ras-el-hanout, Moroccan spice mix
2 tsp smoked paprika
1/2 tsp ground cinnamon
1 sweet potato, peeled and diced (250g)
4 large carrots, peeled and diced (500g)
200g/7oz can chickpeas, drained and rinsed
500 ml/18 fl oz water
400 g/14 oz canned chopped tomatoes
1 tbsp ground almonds
freshly ground black pepper
To serve: 120 g/6 oz couscous
2 tbsp flat-leaf parsley, chopped"
22,Turkish cauliflower pizza with Quorn and tzatziki,"['Each 478g serving contains (excludes serving suggestion)', 'KCal', '296', 'Carbs', '26.3g', 'Fibre', '11.5g', 'Protein', '24.8g', 'Fat', '7.6g', 'Saturates', '1.9g', 'Sugars', '14.5g', 'Salt', '0.49g', 'Fruit/Veg Portion', '4', 'Nutritional information explained', 'What makes a healthy, balanced diet?']","Ingredients
For the base: 900 g/32 oz cauliflower, prepared into florets
1 small onion, finely chopped
1 medium egg, beaten
40g/3 oz 3% fat cream cheese, e. g. Philadelphia lightest cream cheese or 40g/3 oz low fat natural yogurt
2 tbsp wholemeal flour
1/4 tsp freshly ground black pepper
1 tsp olive oil
For the toppings: 1 tsp olive oil
300 g/12 oz Quorn, meat-free mince
2 tsp smoked paprika
1 tsp ground cumin
1 tsp ground coriander
1/2 tsp dried oregano
1 large cucumber, half grated, half finely diced
175 g/5 oz cherry tomatoes, quartered
2 tbsp flat-leaf parsley, chopped
200 g/7 oz low-fat natural yogurt"
23,Chocolate orange soufflé,"['Each 73g serving contains (excludes serving suggestion)', 'KCal', '101', 'Carbs', '15.3g', 'Fibre', '0.7g', 'Protein', '3.7g', 'Fat', '2.6g', 'Saturates', '1.6g', 'Sugars', '14.7g', 'Salt', '0.11g', 'Nutritional information explained', 'What makes a healthy, balanced diet?']","Ingredients
A little vegetable oil, for greasing
Grated rind and juice of 2 large oranges
75g caster sugar
4 large egg whites, beaten until stiff
25g cocoa powder
2 tablespoons orange juice
Few drops of orange extract (available from all good supermarkets)
4 tbsp half-fat crème fraîche"
24,Roasted beetroot hummus,"['Each 130g serving contains (excludes serving suggestion)', 'KCal', '149', 'Carbs', '13.1g', 'Fibre', '0.0g', 'Protein', '5.9g', 'Fat', '6.9g', 'Saturates', '0.9g', 'Sugars', '6.0g', 'Salt', '0.4g', 'Fruit/Veg Portion', '1', 'Nutritional information explained', 'What makes a healthy, balanced diet?']","Ingredients
3 medium-sized beetroot
2 tsp cumin seeds
2 tbsp extra virgin olive oil
400g tin chickpeas, rinsed and drained
Juice of 1 lemon
Freshly ground black pepper
Toasted pitta bread, to serve (optional)"
25,Pyaaj pakora baked battered onions,"['Each 37g serving contains (excludes serving suggestion)', 'KCal', '66', 'Carbs', '10.8g', 'Fibre', '1.7g', 'Protein', '2.9g', 'Fat', '0.8g', 'Saturates', '0.1g', 'Sugars', '1.5g', 'Salt', '0.02g', 'Nutritional information explained', 'What makes a healthy, balanced diet?']","Ingredients
20 sprays of low-fat cooking spray
8 tbsp gram flour
4 tbsp rice flour
1/2 tsp ground turmeric
1/2 tsp carom seeds
1/2 tsp ground coriander
1/2 tsp chilli powder
2 small onions (250g), sliced"
26,Poached spiced pears,"['Each 200g serving contains (excludes serving suggestion)', 'KCal', '107', 'Carbs', '23.8g', 'Fibre', '4.0g', 'Protein', '0.6g', 'Fat', '0.2g', 'Saturates', '0.0g', 'Sugars', '23.8g', 'Salt', '0.01g', 'Fruit/Veg Portion', '1', 'Nutritional information explained', 'What makes a healthy, balanced diet?']","Ingredients
200ml grape juice
1 cinnamon stick
3 cardamom pods
1 tsp vanilla essence
4 ripe pears, peeled, cores removed and halved"
27,Honey-roasted parsnips and carrots,"['Each 267g serving contains (excludes serving suggestion)', 'KCal', '215', 'Carbs', '23.9g', 'Fibre', '9.3g', 'Protein', '5.6g', 'Fat', '8.4g', 'Saturates', '1.2g', 'Sugars', '16.1g', 'Salt', '0.44g', 'Nutritional information explained', 'What makes a healthy, balanced diet?']","Ingredients
3 parsnips (450g)
4 large carrots (500g)
2 tsp honey
1 tsp rapeseed oil
2 tsp reduced-salt tamari (Japanese soy sauce)
4 fresh thyme sprigs, leaves picked
1 tsp dried oregano
1/2 tsp dried tarragon
1 tsp dried parsley
50g pistachios, roughly chopped
Juice of 1 lemon"
28,Nutty chocolate truffles,"['Each 17g serving contains (excludes serving suggestion)', 'KCal', '62', 'Carbs', '8.0g', 'Fibre', '1.1g', 'Protein', '1.2g', 'Fat', '2.6g', 'Saturates', '0.4g', 'Sugars', '7.2g', 'Salt', '0.01g', 'Nutritional information explained', 'What makes a healthy, balanced diet?']","Ingredients
340g Medjool dates, stones removed
80g raw almonds
25g unsweetened cocoa powder, plus extra for rolling
2 tbsp sunflower oil
1 tsp vanilla extract"
29,Char sui chicken skewers & sweet peppers,"['Each 176g serving contains (excludes serving suggestion)', 'KCal', '124', 'Carbs', '6.3g', 'Fibre', '2.1g', 'Protein', '18.9g', 'Fat', '2.1g', 'Saturates', '0.4g', 'Sugars', '6.1g', 'Salt', '0.3g', 'Nutritional information explained', 'What makes a healthy, balanced diet?']","Ingredients
6 wooden skewers
1 spray oil
2–3 chicken breasts (450g), cut into 24 small cubes
2 heaped tsp Chinese five-spice
2 tsp sesame oil
2 tsp reduced-salt soy sauce
2 tsp runny honey
2 large red peppers, cut into 24
1 large yellow pepper, cut into 12
To garnish:
1 spring onion, sliced
3cm cucumber, halved and sliced
1 tbsp pomegranate seeds (optional)"
